property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_usd_per_m2
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6570243,-58.6753978,300.0,516.6666666666666
house,Bs.As. G.B.A. Zona Oeste,La Matanza,-34.6459961,-58.6131249,120.0,916.6666666666664
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6740055,-58.6779046,260.0,596.1538461538463
apartment,Capital Federal,Nuñez,-34.5519933,-58.4636041,52.0,2653.846153846154
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.459266,-58.9097902,36.0,1333.3333333333333
apartment,Bs.As. G.B.A. Zona Norte,Pilar,-34.459266,-58.9097902,46.0,1478.2608695652175
apartment,Capital Federal,Nuñez,-34.5519933,-58.4636041,82.0,3036.5853658536585
apartment,Capital Federal,Saavedra,-34.552765158,-58.4827452307,49.0,2224.4897959183672
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6615977767,-58.6937447201,240.0,354.16666666666674
house,Bs.As. G.B.A. Zona Oeste,Villa Bosch,-34.5865511,-58.571713,131.0,1335.8778625954199
apartment,Capital Federal,Centro / Microcentro,-34.6093777,-58.3777631,132.0,1250.0
apartment,Capital Federal,San Cristobal,-34.6205177,-58.4062398,80.0,1437.5
PH,Capital Federal,Monserrat,-34.6165031,-58.4082032,106.0,1132.0754716981132
apartment,Capital Federal,Recoleta,-34.5924224382,-58.3974303309,18.0,3166.666666666666
apartment,Capital Federal,Palermo,-34.5903367,-58.4111976,140.0,1928.5714285714291
house,Capital Federal,Puerto Madero,-34.6063073927,-58.366838799499995,114.0,3026.315789473684
apartment,Capital Federal,Recoleta,-34.593050500000004,-58.3968485,125.0,2680.0
apartment,Capital Federal,Caballito,-34.630756544899995,-58.4535182233,79.0,2974.6835443037976
apartment,Capital Federal,Belgrano,-34.578678499999995,-58.5447221,38.0,2236.842105263158
apartment,Capital Federal,Nuñez,-34.577168,-58.538654,54.0,1759.2592592592596
apartment,Capital Federal,Flores,-34.6260024,-58.4622608,126.0,1626.984126984127
apartment,Capital Federal,Flores,-34.6296377,-58.4606423,46.0,1736.9565217391305
house,Córdoba,Monte Cristo,-31.339863498099998,-63.9461419161,250.0,6400.0
apartment,Capital Federal,Centro / Microcentro,-34.6074247,-58.3764603,86.0,1104.6511627906978
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.6362381,-58.6826287,220.0,454.54545454545456
apartment,Bs.As. G.B.A. Zona Oeste,La Matanza,-34.6969372267,-58.4927383725,73.0,1095.8904109589039
apartment,Bs.As. G.B.A. Zona Oeste,La Matanza,-34.696972510500004,-58.492867118599996,64.0,1218.75
apartment,Capital Federal,Belgrano,-34.5491059,-58.4663085,78.0,2243.589743589744
house,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,-34.5806616666,-58.592219638100005,185.0,962.1621621621623
apartment,Buenos Aires Costa Atlántica,San Clemente del Tuyú,-36.36314779999999,-56.71755870000001,48.0,1250.0
apartment,Capital Federal,Centro / Microcentro,-34.601087,-58.3764144,85.0,1517.6470588235293
apartment,Capital Federal,Centro / Microcentro,-34.5987234,-58.3753568,55.0,2363.6363636363635
apartment,Capital Federal,Centro / Microcentro,-34.5992377,-58.3767933,35.0,2214.285714285714
store,Capital Federal,Nuñez,-34.5507343,-58.4589748,27.0,2370.3703703703704
apartment,Capital Federal,Villa del Parque,-34.6022643,-58.4907031,103.0,1941.7475728155332
apartment,Capital Federal,Palermo,-34.5915656416,-58.4183719217,34.0,3470.5882352941176
house,Mendoza,El Sauce,-32.885556271700004,-68.7581515042,200.0,2500.0
apartment,Capital Federal,Flores,-34.6264398,-58.4594193,64.0,2500.0
apartment,Bs.As. G.B.A. Zona Norte,General San Martín,-34.5565652075,-58.549125344,40.0,1200.0
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.55186437,-58.5538889472,55.0,1545.4545454545455
house,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.552041098000004,-58.56912389439999,260.0,384.6153846153846
house,Bs.As. G.B.A. Zona Sur,Tolosa,-34.8838791,-57.97316890000001,400.0,675.0
apartment,Capital Federal,Villa Lugano,-34.6894866322,-58.4619540079,50.0,900.0
apartment,Bs.As. G.B.A. Zona Norte,San Andres,-34.5602408653,-58.5380961005,45.0,1222.2222222222224
house,Río Negro,Viedma,-40.819339,-62.9874813,400.0,575.0
house,Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,-34.522848,-58.6832003,300.0,466.66666666666674
apartment,Capital Federal,Floresta,-34.6266896,-58.48192090000001,50.0,1900.0
apartment,Bs.As. G.B.A. Zona Oeste,La Matanza,-34.577168,-58.538654,40.0,1425.0
house,Bs.As. G.B.A. Zona Oeste,Ituzaingó,-34.64302960000001,-58.69357,366.0,286.88524590163934
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4513646,-58.9317878,330.0,363.6363636363636
house,Capital Federal,Boedo,-34.634260600000005,-58.4178509,420.0,880.952380952381
house,Capital Federal,Boedo,-34.6314763,-58.4165521,380.0,1184.2105263157896
