property_type,state_name,place_name,lat,lon,surface_total_in_m2,price_aprox_usd
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.548188,-58.55685,68.04396644011177,124000.0
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.548188,-58.55685,68.04396644011177,124000.0
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.548188,-58.55685,68.04396644011177,124000.0
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.548188,-58.55685,68.04396644011177,124000.0
apartment,Bs.As. G.B.A. Zona Norte,Villa Ballester,-34.547252,-58.55715,68.04396644011177,124000.0
apartment,Capital Federal,Almagro,-34.601773,-58.419141,36.21694987941433,74000.0
apartment,Capital Federal,Almagro,-34.601773,-58.419141,49.386749835565,103000.0
apartment,Capital Federal,Barrio Norte,-34.594057,-58.406322,95.48104968209232,129500.0
apartment,Capital Federal,Palermo,-34.594189,-58.420122,60.36158313235722,135000.0
apartment,Bs.As. G.B.A. Zona Sur,Temperley,-34.776742,-58.399098,48.28926650588578,82000.0
apartment,Capital Federal,San Nicolás,-34.600894,-58.374159,50.48423316524422,89000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.503586,-58.914442,32.44936195067651,192000.0
house,Bs.As. G.B.A. Zona Norte,Pilar,-34.4667,-58.9833,32.44936195067651,665000.0
house,Bs.As. G.B.A. Zona Oeste,Caseros,-34.621922,-58.559722,154.13446926571345,95000.0
apartment,Capital Federal,Caballito,-34.63455,-58.447039,72.43389975882866,121000.0
apartment,Capital Federal,Flores,-34.617975,-58.460451,50.48423316524422,88000.0
apartment,Capital Federal,Flores,-34.617975,-58.460451,50.48423316524422,88000.0
house,Capital Federal,Villa Devoto,-34.61691,-58.498013,600.3131960875155,580000.0
apartment,Capital Federal,Retiro,-34.59741,-58.375055,105.35839964920532,197900.0
store,Buenos Aires Costa Atlántica,Mar del Plata,-38.006344,-57.588406000000006,20.0,240000.0
house,Buenos Aires Costa Atlántica,Mar del Plata,-38.062301,-57.564754,32.44936195067651,139900.0
apartment,Capital Federal,Floresta,-34.630859,-58.481863,68.04396644011177,155000.0
apartment,Capital Federal,Almagro,-34.611189,-58.41568,83.40873305562089,110000.0
apartment,Capital Federal,Retiro,-34.599478999999995,-58.37675600000001,125.11309958343132,220000.0
